,LR,DO,n_hidden,mean acc,std acc
669,0.34500000000000003,0.35000000000000003,64,0.2048,0.12928617965583172
670,0.35000000000000003,0.35000000000000003,64,0.38912500000000005,0.12354885167414548
671,0.35500000000000004,0.35000000000000003,64,0.2371,0.11379980777663906
672,0.36,0.35000000000000003,64,0.3296,0.14922320529998007
673,0.365,0.35000000000000003,64,0.3465,0.22661925668398086
674,0.37,0.35000000000000003,64,0.253875,0.16415278706132286
675,0.375,0.35000000000000003,64,0.279525,0.14379350211327355
676,0.38,0.35000000000000003,64,0.22759999999999997,0.1221277865598161
677,0.385,0.35000000000000003,64,0.225775,0.13187999753563845
678,0.39,0.35000000000000003,64,0.227425,0.12084860363280991
679,0.395,0.35000000000000003,64,0.341,0.1386957776934828
680,0.4,0.35000000000000003,64,0.214625,0.12917035747415118
681,0.405,0.35000000000000003,64,0.212175,0.12224694781465917
682,0.41000000000000003,0.35000000000000003,64,0.22847499999999998,0.11691838499568832
683,0.41500000000000004,0.35000000000000003,64,0.27475,0.151673724652624
684,0.42000000000000004,0.35000000000000003,64,0.225225,0.11983192396018684
685,0.425,0.35000000000000003,64,0.16940000000000002,0.028658157651879863
686,0.43,0.35000000000000003,64,0.199375,0.13003420223156675
687,0.435,0.35000000000000003,64,0.212975,0.12530241917058105
688,0.44,0.35000000000000003,64,0.15435000000000001,0.02247684920090002
689,0.445,0.35000000000000003,64,0.17570000000000002,0.02779687482433952
690,0.45,0.35000000000000003,64,0.24019999999999997,0.1286512388203083
691,0.455,0.35000000000000003,64,0.17732499999999998,0.027102421478532132
692,0.46,0.35000000000000003,64,0.23875000000000002,0.10649688962594164
693,0.465,0.35000000000000003,64,0.215225,0.12635335868112096
694,0.47000000000000003,0.35000000000000003,64,0.24817499999999998,0.09823261932779763
695,0.47500000000000003,0.35000000000000003,64,0.14055,0.054195341128181855
696,0.48000000000000004,0.35000000000000003,64,0.15475,0.06001249869818786
697,0.485,0.35000000000000003,64,0.216175,0.1325112400892845
698,0.49,0.35000000000000003,64,0.11215,0.04007035999339162
699,0.495,0.35000000000000003,64,0.218175,0.12487950692567615
700,0.5,0.35000000000000003,64,0.18937500000000002,0.02225645973644506
701,0.005,0.4,64,0.4508749999999999,0.005042940610397863
702,0.01,0.4,64,0.6438499999999999,0.01977631158735119
703,0.015,0.4,64,0.719725,0.0043677797563522035
704,0.02,0.4,64,0.744175,0.013073016101879492
705,0.025,0.4,64,0.763425,0.005889397252690649
706,0.030000000000000002,0.4,64,0.81455,0.015162165082863333
707,0.034999999999999996,0.4,64,0.837275,0.006212084996198914
708,0.04,0.4,64,0.84605,0.006217214006289329
709,0.045,0.4,64,0.8487,0.0041612798511996224
710,0.049999999999999996,0.4,64,0.853275,0.009235258523723084
711,0.055,0.4,64,0.847575,0.006417554051194289
712,0.06,0.4,64,0.8509499999999999,0.007265328622987422
713,0.065,0.4,64,0.8558749999999999,0.004843165287288898
714,0.07,0.4,64,0.852525,0.005738793427193563
715,0.07500000000000001,0.4,64,0.8500250000000001,0.005317071562429845
716,0.08,0.4,64,0.8413499999999999,0.011623091241145784
717,0.085,0.4,64,0.846525,0.005135903036467881
718,0.09000000000000001,0.4,64,0.8487,0.004177768543133997
719,0.095,0.4,64,0.8431,0.00301392601103611
720,0.1,0.4,64,0.841975,0.009441067206624475
721,0.10500000000000001,0.4,64,0.833225,0.010607898001017916
722,0.11,0.4,64,0.8406,0.005897775004185899
723,0.115,0.4,64,0.83475,0.0063575742229249775
724,0.12000000000000001,0.4,64,0.8359,0.010859155123673305
725,0.125,0.4,64,0.8245250000000001,0.024563743607194724
726,0.13,0.4,64,0.82305,0.005389573266966527
727,0.135,0.4,64,0.8292999999999999,0.007058062765376897
