,2lc,LR,DO,max_df,model,mean f1,std f1
230,classifier_2,0.005,0.7,0.7,GCN,0.4139029063030935,0.024252179024442527
231,classifier_2,0.01,0.7,0.7,GCN,0.4383368310869597,0.01853472423467056
232,classifier_2,0.05,0.7,0.7,GCN,0.47664118261641725,0.0077025725726431755
233,classifier_2,0.001,0.5,0.7,EGCN,0.43767216048558827,0.02862241925405422
234,classifier_2,0.005,0.5,0.7,EGCN,0.4574454298888706,0.00962407392023189
235,classifier_2,0.01,0.5,0.7,EGCN,0.4444981493773195,0.020807501979585724
236,classifier_2,0.05,0.5,0.7,EGCN,0.41917147464709587,0.0350557605538935
237,classifier_2,0.001,0.7,0.7,EGCN,0.4563451905868001,0.014902703630244664
238,classifier_2,0.005,0.7,0.7,EGCN,0.45426303961931286,0.012313975740616418
239,classifier_2,0.01,0.7,0.7,EGCN,0.4564712063525323,0.009216887929612888
240,classifier_2,0.05,0.7,0.7,EGCN,0.46256124597019754,0.02209479521041746
241,classifier_3,0.001,0.5,0.7,GCN,0.45336938692852424,0.021099169662308796
242,classifier_3,0.005,0.5,0.7,GCN,0.6984848563492799,0.013373987213327004
243,classifier_3,0.01,0.5,0.7,GCN,0.7144797907311639,0.005805343081225614
244,classifier_3,0.05,0.5,0.7,GCN,0.69424592122304,0.007528950494093718
245,classifier_3,0.001,0.7,0.7,GCN,0.42466134602554484,0.01397360937984032
246,classifier_3,0.005,0.7,0.7,GCN,0.6981539440286616,0.013293242660815116
247,classifier_3,0.01,0.7,0.7,GCN,0.7080599033054787,0.003220320168031806
248,classifier_3,0.05,0.7,0.7,GCN,0.6879412807737304,0.008225762992700872
249,classifier_3,0.001,0.5,0.7,EGCN,0.7114937257629498,0.006217784390000516
250,classifier_3,0.005,0.5,0.7,EGCN,0.6940236505111064,0.015548775408797271
251,classifier_3,0.01,0.5,0.7,EGCN,0.6876438001610442,0.013436503919004396
252,classifier_3,0.05,0.5,0.7,EGCN,0.6566301042482265,0.009144702196585471
253,classifier_3,0.001,0.7,0.7,EGCN,0.7014857978917294,0.009036059897675914
